,foodtype,name,id,url,level,price,taste,envi,service,review
4938,烧烤,西昌正宗火焰山火盆烧烤(华阳店),72459031,http://www.dianping.com/shop/72459031,准四星商户,75,7.2,7.2,7.2,275
4939,烧烤,云南烙烤屋,102307236,http://www.dianping.com/shop/102307236,准四星商户,-1,7.6,7.6,7.6,45
4940,烧烤,木槿炭烤肉·都江堰必体验的烤肉,98938186,http://www.dianping.com/shop/98938186,准四星商户,-1,7.5,7.5,7.5,127
4941,烧烤,我给你说嘛(原汁烧烤),98958246,http://www.dianping.com/shop/98958246,准四星商户,46,7.7,7.2,7.9,17
4942,烧烤,纸上有鱼(龙城店),66108345,http://www.dianping.com/shop/66108345,四星商户,48,7.9,7.5,7.8,83
4943,烧烤,北木南烤肉与酒(西南财大店),94279380,http://www.dianping.com/shop/94279380,准四星商户,59,7.4,7.5,7.4,459
4944,烧烤,霸王把把烧(红光店),108228231,http://www.dianping.com/shop/108228231,四星商户,-1,8.0,7.9,8.0,103
4945,烧烤,刘明记乐山刘记烧烤(犀浦店),5858527,http://www.dianping.com/shop/5858527,准四星商户,65,7.2,7.2,7.1,2325
4946,烧烤,巴倒烫,97065932,http://www.dianping.com/shop/97065932,准四星商户,-1,7.3,7.3,7.3,61
4947,烧烤,西昌原生态火盆烧烤(蛟龙店),22274113,http://www.dianping.com/shop/22274113,四星商户,53,7.8,7.7,7.8,1396
4948,烧烤,西昌锅边洋芋.Play&amp;Eat(宽窄店),97849499,http://www.dianping.com/shop/97849499,准四星商户,-1,7.1,7.3,7.6,16
4949,烧烤,情人坡把把烧(空港店),98417056,http://www.dianping.com/shop/98417056,四星商户,-1,7.8,7.8,7.8,38
4950,烧烤,宜宾烤五花,107809384,http://www.dianping.com/shop/107809384,四星商户,-1,7.7,7.5,7.7,2
4951,烧烤,醉烧膘·川南把把烧(郫都店),92179926,http://www.dianping.com/shop/92179926,准四星商户,70,7.5,7.4,7.4,71
4952,烧烤,馋味轩自助海鲜烤肉.涮涮锅(五大花园店),102443239,http://www.dianping.com/shop/102443239,准四星商户,50,7.3,7.2,7.5,20
4953,烧烤,废墟精酿工厂美食体验店(双楠店),45298478,http://www.dianping.com/shop/45298478,四星商户,146,7.4,7.8,7.5,107
4954,烧烤,初原炙烧居酒屋(海昌路店),69426732,http://www.dianping.com/shop/69426732,三星商户,89,6.6,6.6,6.5,722
4955,烧烤,雅莉家烤肉(双流店),92880374,http://www.dianping.com/shop/92880374,准四星商户,-1,7.3,7.2,7.3,96
4956,烧烤,51昭通小肉串,102160218,http://www.dianping.com/shop/102160218,准四星商户,-1,7.6,6.9,7.4,14
4957,烧烤,沙巴克把把烧(中粮鸿云店),107693741,http://www.dianping.com/shop/107693741,准四星商户,65,7.5,7.5,7.9,25
4958,烧烤,乱劈柴把把烧,110316307,http://www.dianping.com/shop/110316307,准四星商户,-1,7.5,7.4,7.8,13
4959,烧烤,泰式自助烤肉,90385255,http://www.dianping.com/shop/90385255,准四星商户,45,7.5,7.4,7.5,1123
4960,烧烤,亲不倒把把烧(春熙店),102122407,http://www.dianping.com/shop/102122407,四星商户,46,8.0,8.0,8.4,29
4961,烧烤,e家客汉源石板烧,73596547,http://www.dianping.com/shop/73596547,准四星商户,42,7.4,7.4,7.4,16
4962,烧烤,清真资格烤羊肉串,58376594,http://www.dianping.com/shop/58376594,准四星商户,37,7.4,7.1,7.2,40
4963,烧烤,五花霸道把把烧·小龙虾,92955080,http://www.dianping.com/shop/92955080,准四星商户,56,7.7,7.4,8.0,98
4964,烧烤,荒野自助烤肉,108703915,http://www.dianping.com/shop/108703915,四星商户,-1,8.0,8.0,8.0,59
4965,烧烤,卢记烧烤·峨眉特色烧烤,92767168,http://www.dianping.com/shop/92767168,准四星商户,-1,7.5,6.5,6.9,20
4966,烧烤,橋底东北烧烤,102087228,http://www.dianping.com/shop/102087228,准四星商户,-1,7.5,7.6,7.9,24
4967,烧烤,西西里公社,102457546,http://www.dianping.com/shop/102457546,四星商户,-1,7.7,7.6,7.7,3
4968,烧烤,犇香石棉烤肉,56958569,http://www.dianping.com/shop/56958569,准四星商户,60,7.3,7.2,7.5,77
4969,烧烤,炙无心烤肉,97312338,http://www.dianping.com/shop/97312338,四星商户,-1,8.0,7.6,8.0,17
4970,烧烤,大草原烤羊腿,96267400,http://www.dianping.com/shop/96267400,四星商户,-1,7.7,7.6,7.8,16
4971,烧烤,整点儿烧烤啤酒吧,108355611,http://www.dianping.com/shop/108355611,准四星商户,-1,7.0,7.2,6.8,7
4972,烧烤,小薇薇西昌火盆烤肉(优品道店),111578805,http://www.dianping.com/shop/111578805,三星商户,-1,6.9,6.5,7.1,4
4973,烧烤,51烤肉,32558550,http://www.dianping.com/shop/32558550,准四星商户,45,7.6,7.6,7.6,517
4974,烧烤,秘炭烤肉与酒(红星路店),69477987,http://www.dianping.com/shop/69477987,准四星商户,65,7.5,7.6,7.7,10
4975,烧烤,西昌原味火盆烧烤(千禧店),102082117,http://www.dianping.com/shop/102082117,四星商户,-1,8.0,8.0,8.0,25
4976,烧烤,熊在烤肉,2303692,http://www.dianping.com/shop/2303692,准四星商户,66,7.3,7.0,7.3,187
4977,烧烤,你烤·西昌火盆烧烤酒肉馆(万科理想城店),110836419,http://www.dianping.com/shop/110836419,三星商户,-1,6.9,6.9,6.9,10
4978,烧烤,鱼摆摆家,37800513,http://www.dianping.com/shop/37800513,准四星商户,57,7.8,7.7,7.5,51
4979,烧烤,撸啊撸北方烧烤.龙虾馆(三瓦窑店),83469210,http://www.dianping.com/shop/83469210,准四星商户,86,7.4,7.4,7.2,132
4980,烧烤,宜宾屌丝烤五花(大源店),100693567,http://www.dianping.com/shop/100693567,四星商户,-1,7.7,7.7,7.8,7
4981,烧烤,韩香自助烤肉,97470542,http://www.dianping.com/shop/97470542,四星商户,-1,7.7,7.6,7.7,145
4982,烧烤,911BEER餐酒吧,103668582,http://www.dianping.com/shop/103668582,准四星商户,110,7.4,7.4,7.6,135
4983,烧烤,凉山自助火盆烧烤(石人西路店),101954558,http://www.dianping.com/shop/101954558,准四星商户,61,7.3,7.3,7.4,9
4984,烧烤,胖玻璃球自助烤肉芝士年糕火锅,58767950,http://www.dianping.com/shop/58767950,准四星商户,45,7.2,7.4,7.3,1629
4985,烧烤,山里坝西昌烧烤,22874408,http://www.dianping.com/shop/22874408,四星商户,57,7.8,7.8,7.8,266
4986,烧烤,雅莉家烤肉馆(百草店),57291931,http://www.dianping.com/shop/57291931,准四星商户,64,7.3,7.3,7.3,31
4987,烧烤,乐山刘记烧烤(武侯生活广场店),6009829,http://www.dianping.com/shop/6009829,准四星商户,63,7.2,7.3,7.4,234
4988,烧烤,莱真牛烤肉,110333309,http://www.dianping.com/shop/110333309,准四星商户,-1,7.4,7.3,7.3,7
4989,烧烤,梅堂子烧烤【青城山店】,18707374,http://www.dianping.com/shop/18707374,准四星商户,44,7.2,7.3,7.3,88
4990,烧烤,刘记糖醋烧烤,50343506,http://www.dianping.com/shop/50343506,准四星商户,47,7.2,6.3,6.9,82
4991,烧烤,贵客烧烤,110517859,http://www.dianping.com/shop/110517859,准四星商户,-1,7.3,7.2,7.5,11
4992,烧烤,西昌冕宁自助烧烤,102461492,http://www.dianping.com/shop/102461492,准四星商户,-1,7.6,7.6,7.6,88
4993,烧烤,毛坯房烤羊腿,91053444,http://www.dianping.com/shop/91053444,准四星商户,-1,7.6,7.5,7.6,107
4994,烧烤,新单位自助炭火烤肉,6260582,http://www.dianping.com/shop/6260582,准四星商户,62,7.6,7.6,7.6,166
4995,烧烤,86烧烤,102050764,http://www.dianping.com/shop/102050764,准四星商户,-1,7.4,7.4,7.4,7
4996,烧烤,桃源石棉烧烤,96092440,http://www.dianping.com/shop/96092440,准四星商户,-1,7.5,7.4,7.5,9
4997,烧烤,蜀客特色小龙虾(保利中心店),93262709,http://www.dianping.com/shop/93262709,四星商户,77,7.7,7.8,7.9,111
4998,烧烤,醉凉山火盆烧烤(中和店),69132247,http://www.dianping.com/shop/69132247,准四星商户,91,7.1,7.0,7.0,132
4999,烧烤,焱烤·宜宾一绝(宽窄店),90120195,http://www.dianping.com/shop/90120195,准四星商户,63,7.4,7.2,7.5,71
5000,烧烤,大山里烤肉馆,98870078,http://www.dianping.com/shop/98870078,准四星商户,72,6.9,7.3,7.2,39
5001,烧烤,肉岩羊腿,107759876,http://www.dianping.com/shop/107759876,四星商户,-1,7.7,7.7,7.6,10
5002,烧烤,凉山印象西昌火盆烧烤,24626109,http://www.dianping.com/shop/24626109,准四星商户,62,7.2,7.2,7.2,1268
5003,烧烤,酒惊烤艳烧烤·酒馆(龙湖.金楠天街店),90996673,http://www.dianping.com/shop/90996673,准四星商户,43,7.3,7.2,7.0,34
5004,烧烤,棕榈房车露营地生活馆,98895696,http://www.dianping.com/shop/98895696,准四星商户,-1,7.6,7.6,7.6,5
5005,烧烤,七堂酒馆石棉烧烤,97689212,http://www.dianping.com/shop/97689212,四星商户,-1,7.9,7.9,7.9,7
5006,烧烤,煎烤官川式盘盘烤肉(香槟广场店),24674198,http://www.dianping.com/shop/24674198,三星商户,71,6.8,6.9,7.1,248
5007,烧烤,西昌正宗火盆烧烤(大世界店),56860801,http://www.dianping.com/shop/56860801,准四星商户,72,7.0,6.9,7.0,136
5008,烧烤,名羊天下碳烤羊腿羊排,108321068,http://www.dianping.com/shop/108321068,准四星商户,-1,7.6,7.4,7.4,7
5009,烧烤,金韩宫(温江店),21396107,http://www.dianping.com/shop/21396107,三星商户,68,6.7,6.7,6.7,1924
5010,烧烤,蓉舒苑烤全羊(三圣乡店),38071990,http://www.dianping.com/shop/38071990,四星商户,90,7.6,7.6,7.5,146
5011,烧烤,多无所谓烧烤(天府四街店),69628116,http://www.dianping.com/shop/69628116,准四星商户,53,7.6,7.4,7.4,38
5012,烧烤,繁花时音乐餐厅,110700534,http://www.dianping.com/shop/110700534,准四星商户,-1,7.5,7.5,7.5,79
5013,烧烤,盘烤江湖,111871032,http://www.dianping.com/shop/111871032,四星商户,65,7.8,7.8,7.7,10
5014,烧烤,酥咪铬海鲜自助涮烤(簇桥店),22973198,http://www.dianping.com/shop/22973198,准四星商户,50,7.5,7.4,7.8,184
5015,烧烤,老铁把把烧,110440804,http://www.dianping.com/shop/110440804,准四星商户,-1,7.6,7.6,7.6,19
5016,烧烤,乐山刘记烧烤(光华店),3279871,http://www.dianping.com/shop/3279871,准四星商户,71,7.3,7.3,7.3,215
5017,烧烤,醉牛把把烧·宜宾烧烤(兆景店),106536094,http://www.dianping.com/shop/106536094,准四星商户,-1,7.5,7.4,7.5,17
5018,烧烤,犇焱烤肉,102187446,http://www.dianping.com/shop/102187446,准四星商户,59,7.4,7.3,7.4,25
5019,烧烤,三国炙烤肉(时代天街店),20671327,http://www.dianping.com/shop/20671327,三星商户,58,6.8,6.9,6.8,7270
5020,烧烤,叁号铺把把烧,108003949,http://www.dianping.com/shop/108003949,准四星商户,-1,7.5,7.5,7.5,7
5021,烧烤,咕咕洋石板烧,22291834,http://www.dianping.com/shop/22291834,准四星商户,49,7.2,7.2,7.2,341
5022,烧烤,绿道烧烤四季小院自助烧烤烤肉,90444548,http://www.dianping.com/shop/90444548,四星商户,-1,8.1,8.1,8.1,105
5023,烧烤,晓愿,68935210,http://www.dianping.com/shop/68935210,准四星商户,86,7.0,7.1,6.9,17
5024,烧烤,若叶台,97741486,http://www.dianping.com/shop/97741486,准四星商户,61,6.8,6.9,6.9,502
